Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
SIGE,com.sige.app,sigeInit,main,Long Statement,The length of the statement "showMessageDialog(null`"Erro ao iniciar o SIGE.\n\n" + "Informe o Seguinte Erro ao Analista: " + e.toString()`"Erro"`ERROR_MESSAGE);" is 132.,20
SIGE,com.sige.app,sigeInit,main,Long Statement,The length of the statement "showMessageDialog(null`"Erro ao iniciar o banco de dados.\n\n" + "Informe o Seguinte Erro ao Analista: " + e.toString()`"Erro"`ERROR_MESSAGE);" is 142.,20
SIGE,com.sige.graficos,GraficoBarra,GraficoBarra,Magic Number,The method contains a magic number: 550,51
SIGE,com.sige.graficos,GraficoBarra,GraficoBarra,Magic Number,The method contains a magic number: 45,51
SIGE,com.sige.graficos,GraficoBarra,GraficoBarra,Magic Number,The method contains a magic number: 14,51
SIGE,com.sige.graficos,GraficoBarra,criaGraficoBarra,Long Statement,The length of the statement "JFreeChart grafico=ChartFactory.createBarChart(titulo`"CANDIDATOS"`"PORCENTAGEM"`dados`PlotOrientation.HORIZONTAL`true`false`false);" is 132.,99
SIGE,com.sige.graficos,GraficoBarra,criaGraficoBarra,Long Statement,The length of the statement "barRenderer.setSeriesItemLabelGenerator(x++`new StandardCategoryItemLabelGenerator("{2}" + "% " + resultado.getInt("votos") + " votos"`new DecimalFormat("0.00")`NumberFormat.getPercentInstance(new Locale("pt"`"BR"))));" is 218.,99
SIGE,com.sige.graficos,GraficoBarra,criaGraficoBarra,Long Statement,The length of the statement "barRenderer.setSeriesItemLabelGenerator(x++`new StandardCategoryItemLabelGenerator("{2}" + "% " + dataBancoDadosVotacaoCargos.obterQuantidadeBranco(this.cargo`data) + " votos"`new DecimalFormat("0.00")`NumberFormat.getPercentInstance(new Locale("pt"`"BR"))));" is 259.,99
SIGE,com.sige.graficos,GraficoBarra,criaGraficoBarra,Long Statement,The length of the statement "barRenderer.setSeriesItemLabelGenerator(x`new StandardCategoryItemLabelGenerator("{2}" + "% " + dataBancoDadosVotacaoCargos.obterQuantidadeNulo(this.cargo`data) + " votos"`new DecimalFormat("0.00")`NumberFormat.getPercentInstance(new Locale("pt"`"BR"))));" is 255.,99
SIGE,com.sige.graficos,GraficoBarra,criaGraficoBarra,Magic Number,The method contains a magic number: 20,99
SIGE,com.sige.graficos,GraficoBarra,criaGraficoBarra,Magic Number,The method contains a magic number: 14,99
SIGE,com.sige.graficos,GraficoBarra,criaGraficoBarra,Magic Number,The method contains a magic number: 14,99
SIGE,com.sige.graficos,GraficoBarra,criaGraficoBarra,Magic Number,The method contains a magic number: 14,99
SIGE,com.sige.graficos,GraficoBarra,criaGraficoBarra,Magic Number,The method contains a magic number: 0.25,99
SIGE,com.sige.graficos,GraficoBarra,criaGraficoBarra,Magic Number,The method contains a magic number: 0.25,99
SIGE,com.sige.graficos,GraficoBarra,criaGraficoBarra,Magic Number,The method contains a magic number: 100,99
SIGE,com.sige.graficos,GraficoBarra,criaGraficoBarra,Magic Number,The method contains a magic number: 20,99
SIGE,com.sige.graficos,GraficoBarra,quantidadeCandidatos,Magic Number,The method contains a magic number: 2,179
SIGE,com.sige.graficos,GraficoBarra,criaConjuntoDados,Long Statement,The length of the statement "while (resultado.next()) dataSet.addValue(resultado.getInt("votos") * porcentagem`resultado.getString("candidato")`cargo);" is 122.,195
SIGE,com.sige.graficos,GraficoBarra,criaConjuntoDados,Magic Number,The method contains a magic number: 100.0,195
SIGE,com.sige.graficos,GraficoLinha,GraficoLinha,Magic Number,The method contains a magic number: 3,54
SIGE,com.sige.graficos,GraficoLinha,GraficoLinha,Magic Number,The method contains a magic number: 14,54
SIGE,com.sige.graficos,GraficoLinha,GraficoLinha,Magic Number,The method contains a magic number: 14,54
SIGE,com.sige.graficos,GraficoLinha,GraficoLinha,Magic Number,The method contains a magic number: 14,54
SIGE,com.sige.graficos,GraficoLinha,criaGraficoLinha,Long Statement,The length of the statement "JFreeChart grafico=ChartFactory.createLineChart(titulo`null`"PORCENTAGEM"`dataset`PlotOrientation.VERTICAL`true`true`false);" is 124.,111
SIGE,com.sige.graficos,GraficoLinha,criaGraficoLinha,Magic Number,The method contains a magic number: 17,111
SIGE,com.sige.graficos,GraficoLinha,criaGraficoLinha,Magic Number,The method contains a magic number: 0.15,111
SIGE,com.sige.graficos,GraficoLinha,criaGraficoLinha,Magic Number,The method contains a magic number: 0.10,111
SIGE,com.sige.graficos,GraficoLinha,criaGraficoLinha,Magic Number,The method contains a magic number: 20,111
SIGE,com.sige.graficos,GraficoLinha,criaGraficoLinha,Magic Number,The method contains a magic number: 17,111
SIGE,com.sige.graficos,GraficoLinha,criaGraficoLinha,Magic Number,The method contains a magic number: 6,111
SIGE,com.sige.graficos,GraficoLinha,criaGraficoLinha,Magic Number,The method contains a magic number: 5.0,111
SIGE,com.sige.graficos,GraficoLinha,criaGraficoLinha,Magic Number,The method contains a magic number: 5.0,111
SIGE,com.sige.graficos,GraficoLinha,criaGraficoLinha,Magic Number,The method contains a magic number: 10.0,111
SIGE,com.sige.graficos,GraficoLinha,criaGraficoLinha,Magic Number,The method contains a magic number: 10.0,111
SIGE,com.sige.graficos,GraficoLinha,criaConjuntoDados,Long Statement,The length of the statement "dataSet.addValue((resultado.getInt("numero_votos") * porcentagem)`resultado.getString("nome_candidato")`descobreMes(dataPesquisas[x]));" is 135.,212
SIGE,com.sige.graficos,GraficoLinha,criaConjuntoDados,Magic Number,The method contains a magic number: 100.0,212
SIGE,com.sige.gui.ajuda,DialogoSobre,DialogoSobre,Magic Number,The method contains a magic number: 2,27
SIGE,com.sige.gui.ajuda,DialogoSobre,DialogoSobre,Magic Number,The method contains a magic number: 3,27
SIGE,com.sige.gui.ajuda,DialogoSobre,DialogoSobre,Magic Number,The method contains a magic number: 610,27
SIGE,com.sige.gui.ajuda,DialogoSobre,DialogoSobre,Magic Number,The method contains a magic number: 120,27
SIGE,com.sige.gui.ajuda,MenuAjuda,MenuAjuda,Magic Number,The method contains a magic number: 12,24
SIGE,com.sige.gui.ajuda,MenuAjuda,MenuAjuda,Magic Number,The method contains a magic number: 12,24
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Long Method,The method has 118 lines of code.,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Long Parameter List,The method has 5 parameters. ,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Long Statement,The length of the statement "if (caminhoImagem.equalsIgnoreCase("/icones/cadastro.png")) img=Toolkit.getDefaultToolkit().getImage(getClass().getResource(caminhoImagem));" is 140.,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Magic Number,The method contains a magic number: 4,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Magic Number,The method contains a magic number: 25,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Magic Number,The method contains a magic number: 30,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Magic Number,The method contains a magic number: 21,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Magic Number,The method contains a magic number: 30,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Magic Number,The method contains a magic number: 30,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Magic Number,The method contains a magic number: 21,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Magic Number,The method contains a magic number: 30,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Magic Number,The method contains a magic number: 30,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Magic Number,The method contains a magic number: 13,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Magic Number,The method contains a magic number: 14,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Magic Number,The method contains a magic number: 14,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Magic Number,The method contains a magic number: 14,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Magic Number,The method contains a magic number: 14,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Magic Number,The method contains a magic number: 200,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,DialogoCadastrarCandidato,Magic Number,The method contains a magic number: 200,47
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,addFotoCandidato,Magic Number,The method contains a magic number: 200,222
SIGE,com.sige.gui.candidato,DialogoCadastrarCandidato,addFotoCandidato,Magic Number,The method contains a magic number: 200,222
